qseqid,sseqid,log2FoldChange,lfcSE,padj,description,external_gene_name
104439148,AT5G45530,-2.785296471,0.684904577,0.000515547,"transmembrane protein, putative (DUF594) [Source:NCBI gene (formerly Entrezgene);Acc:834589]",AT5G45530
104439158,AT4G29010,-1.450013438,0.174433996,1.65E-14,Enoyl-CoA hydratase/isomerase family [Source:NCBI gene (formerly Entrezgene);Acc:829022],AIM1
104439160,AT1G71020,2.236285108,0.338324074,1.99E-09,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843442],AT1G71020
104439168,AT1G52720,-1.086350262,0.349632367,0.011395699,,
104439177,AT1G33720,1.47074708,0.288769741,7.00E-06,"cytochrome P450, family 76, subfamily C, polypeptide 6 [Source:NCBI gene (formerly Entrezgene);Acc:840263]",CYP76C6
104439206,AT2G45550,1.397643142,0.258446314,1.54E-06,"cytochrome P450, family 76, subfamily C, polypeptide 4 [Source:NCBI gene (formerly Entrezgene);Acc:819163]",CYP76C4
104439272,AT5G56260,-1.301438021,0.451067236,0.02063656,Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:835725],AT5G56260
104439293,AT2G39210,1.279026356,0.49688018,0.044002884,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818506],AT2G39210
104439312,AT1G24020,2.716242757,0.443342124,3.34E-08,MLP-like protein 423 [Source:NCBI gene (formerly Entrezgene);Acc:839014],MLP423
104439313,AT2G39210,1.457339518,0.485168649,0.015109024,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818506],AT2G39210
104439566,AT2G36950,3.770793117,1.236621082,0.013349416,Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818269],AT2G36950
104439593,AT4G10310,-2.212521923,0.613379697,0.002524523,high-affinity K+ transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:826623],HKT1
104439609,AT4G30230,-1.27614801,0.434560701,0.018095178,,AT4G30230
104439699,AT5G23960,4.041199066,0.726361941,7.04E-07,terpene synthase 21 [Source:NCBI gene (formerly Entrezgene);Acc:832461],TPS21
104439712,AT1G24020,1.149275017,0.370560833,0.01157184,MLP-like protein 423 [Source:NCBI gene (formerly Entrezgene);Acc:839014],MLP423
104439741,AT5G23960,1.876456724,0.693352217,0.032240006,terpene synthase 21 [Source:NCBI gene (formerly Entrezgene);Acc:832461],TPS21
104439761,AT2G25060,-2.301726297,0.342482709,1.01E-09,early nodulin-like protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:817044],ENODL14
104439768,AT2G46410,-1.522609545,0.34262379,0.000118896,Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819249],CPC
104439883,AT5G11330,4.539685608,1.69265622,0.034135311,FAD/NAD(P)-binding oxidoreductase family protein [Source:NCBI gene (formerly Entrezgene);Acc:831004],AT5G11330
104439958,AT2G32280,1.721263677,0.408997586,0.000301632,"GPI inositol-deacylase C, putative (DUF1218) [Source:NCBI gene (formerly Entrezgene);Acc:817788]",AT2G32280
104440005,AT1G79670,-1.30075816,0.313943745,0.000385665,Wall-associated kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844306],RFO1
104440013,AT1G69730,-1.774196091,0.395109091,9.82E-05,Wall-associated kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843309],AT1G69730
104440043,AT1G69730,-1.114950179,0.302777347,0.001979684,Wall-associated kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843309],AT1G69730
104440052,AT5G20670,1.33284796,0.499873471,0.035440099,DUF1677 family protein (DUF1677) [Source:NCBI gene (formerly Entrezgene);Acc:832190],AT5G20670
104440057,AT3G43210,-1.45768849,0.299763428,1.99E-05,ATP binding microtubule motor family protein [Source:NCBI gene (formerly Entrezgene);Acc:823396],TES
104440058,AT5G20830,-2.586921996,0.189528276,4.11E-39,sucrose synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:832206],SUS1
104440059,AT3G43190,-4.289265117,1.467449329,0.018747709,sucrose synthase 4 [Source:NCBI gene (formerly Entrezgene);Acc:823393],SUS4
104440155,AT5G51160,2.19268957,0.857164484,0.045700181,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:835190],AT5G51160
104440195,AT4G23160,-1.704434737,0.461330962,0.001904466,cysteine-rich RECEPTOR-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:828415],CRK8
104440220,AT3G18670,-1.812417253,0.360312382,9.44E-06,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:821398],AT3G18670
104440240,AT5G15500,4.611173,1.769317784,0.040890172,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:831403],AT5G15500
104440258,AT4G28230,-1.276709223,0.250169879,6.65E-06,,AT4G28230
104440274,AT3G18670,5.078043052,1.812153824,0.025469555,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:821398],AT3G18670
104440319,AT1G35190,1.013558783,0.250491356,0.000554948,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:840408],AT1G35190
104440331,AT5G11590,-3.448699523,0.580550532,9.41E-08,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831031],TINY2
104440337,AT4G28940,-4.76320145,1.883681151,0.048687004,Phosphorylase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829015],AT4G28940
104440339,AT3G24550,-1.212315515,0.208220636,1.78E-07,proline extensin-like receptor kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:822051],PERK1
104440352,AT5G19600,4.010102678,0.68488696,1.50E-07,sulfate transporter 3;5 [Source:NCBI gene (formerly Entrezgene);Acc:832080],SULTR3;5
104440378,AT3G18670,-2.533632462,0.757330843,0.005731614,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:821398],AT3G18670
104440382,AT1G03520,-1.029258787,0.29140142,0.003203954,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839471]",AT1G03520
104440457,AT3G14630,1.453396827,0.395787318,0.002044748,"cytochrome P450, family 72, subfamily A, polypeptide 9 [Source:NCBI gene (formerly Entrezgene);Acc:820691]",CYP72A9
104440512,AT1G03620,-1.659499085,0.388573235,0.000237302,ELMO/CED-12 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839448],AT1G03620
104440592,AT5G44635,-1.550063417,0.35640684,0.000173721,minichromosome maintenance (MCM2/3/5) family protein [Source:NCBI gene (formerly Entrezgene);Acc:834492],MCM6
104440602,AT4G28250,-2.53412934,0.372872743,6.46E-10,expansin B3 [Source:NCBI gene (formerly Entrezgene);Acc:828940],EXPB3
104440606,AT3G12750,-1.293952701,0.341358889,0.001372435,zinc transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:820457],ZIP1
104440609,AT4G20040,-2.866654956,0.576379029,1.22E-05,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827749],AT4G20040
104440614,AT2G29420,2.235485168,0.563508105,0.000737181,glutathione S-transferase tau 7 [Source:NCBI gene (formerly Entrezgene);Acc:817491],GSTU7
104440616,AT3G22160,2.061175519,0.812849173,0.048002407,VQ motif-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:821780],AT3G22160
104440684,AT1G21270,-2.224145239,0.710375922,0.010684275,wall-associated kinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:838723],WAK2
104440701,AT1G30520,-1.129915524,0.177075849,7.80E-09,acyl-activating enzyme 14 [Source:NCBI gene (formerly Entrezgene);Acc:839932],AAE14
104440705,AT4G05390,1.402266873,0.307455103,7.32E-05,root FNR 1 [Source:NCBI gene (formerly Entrezgene);Acc:825887],RFNR1
104440709,AT2G34710,-1.138817805,0.223659362,7.05E-06,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818036],PHB
104440716,AT4G21120,2.10906746,0.357701656,1.20E-07,amino acid transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:827860],AAT1
104440717,AT4G21120,2.835981299,0.655201903,0.000189116,amino acid transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:827860],AAT1
104440725,AT4G12320,-2.059390282,0.604452104,0.004738285,"cytochrome P450, family 706, subfamily A, polypeptide 6 [Source:NCBI gene (formerly Entrezgene);Acc:826841]",CYP706A6
104440741,AT1G30380,-1.181555045,0.278859698,0.000270623,photosystem I subunit K [Source:NCBI gene (formerly Entrezgene);Acc:839918],PSAK
104440745,AT4G21070,-2.026353376,0.498571076,0.000520217,breast cancer susceptibility1 [Source:NCBI gene (formerly Entrezgene);Acc:827854],BRCA1
104440753,AT2G20680,-1.166544902,0.174772871,1.36E-09,Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816596],MAN2
104440761,AT4G28310,-1.67970058,0.383310151,0.000152011,microtubule-associated protein [Source:NCBI gene (formerly Entrezgene);Acc:828946],AT4G28310
104440804,AT5G49010,-1.877036459,0.356617757,3.10E-06,DNA replication protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:834960],SLD5
104440809,AT1G29930,-2.018698453,0.390898689,4.99E-06,chlorophyll A/B binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:839871],CAB1
104440810,AT1G29930,-1.61383238,0.399855641,0.0005756,chlorophyll A/B binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:839871],CAB1
104440811,AT2G34430,-1.869977961,0.356558318,3.40E-06,light-harvesting chlorophyll-protein complex II subunit B1 [Source:NCBI gene (formerly Entrezgene);Acc:818006],LHB1B1
104440813,AT4G18220,1.379987286,0.320586397,0.000208238,Drug/metabolite transporter superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827548],AT4G18220
104440816,AT4G18220,1.106990075,0.400036069,0.027778543,Drug/metabolite transporter superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827548],AT4G18220
104440819,AT5G46340,-1.072844475,0.259488222,0.000399028,O-acetyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:834677],RWA1
104440824,AT2G20635,-1.533216462,0.281785766,1.31E-06,protein kinase and Mad3-BUB1-I domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:816591],AT2G20635
104440833,AT1G03780,-1.729942579,0.324517548,2.24E-06,targeting protein for XKLP2 [Source:NCBI gene (formerly Entrezgene);Acc:839140],TPX2
104440836,AT1G29630,-2.818621921,0.291101707,1.55E-19,5'-3' exonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:839840],AT1G29630
104440851,AT1G29640,1.74803513,0.631414682,0.027689504,"senescence regulator (Protein of unknown function, DUF584) [Source:NCBI gene (formerly Entrezgene);Acc:839841]",AT1G29640
104440866,AT5G45700,-2.114009426,0.23309598,3.68E-17,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834609],AT5G45700
104440872,AT2G47010,-1.589505373,0.359418656,0.00012978,calcium/calcium/calmodulin-dependent Serine/Threonine-kinase [Source:NCBI gene (formerly Entrezgene);Acc:819315],AT2G47010
104440887,AT1G29270,-1.101860369,0.352639923,0.010860461,transcription factor bHLH35-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839801],AT1G29270
104440888,AT4G18780,-1.490433162,0.286413644,4.14E-06,cellulose synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:827612],IRX1
104440895,AT4G18650,6.469869144,0.623606154,2.12E-22,transcription factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:827599],AT4G18650
104440903,AT5G45890,-3.602550639,0.476482274,4.03E-12,senescence-associated 12 [Source:NCBI gene (formerly Entrezgene);Acc:834629],SAG12
104440904,AT5G45890,-1.472642414,0.48654432,0.014227428,senescence-associated 12 [Source:NCBI gene (formerly Entrezgene);Acc:834629],SAG12
104440905,AT5G45890,-4.447926158,0.539612638,2.79E-14,senescence-associated 12 [Source:NCBI gene (formerly Entrezgene);Acc:834629],SAG12
104440907,AT5G45890,-2.73587237,0.460812471,9.57E-08,senescence-associated 12 [Source:NCBI gene (formerly Entrezgene);Acc:834629],SAG12
104440910,AT5G45890,-2.191533072,0.722975761,0.014041495,senescence-associated 12 [Source:NCBI gene (formerly Entrezgene);Acc:834629],SAG12
104440912,AT2G27430,-1.070203309,0.358283403,0.01580858,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817288],AT2G27430
104440917,AT5G45910,-1.037730622,0.238169386,0.00016835,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834631],AT5G45910
104440930,AT1G27180,-1.18069349,0.400795183,0.01767618,disease resistance protein (TIR-NBS-LRR class) [Source:NCBI gene (formerly Entrezgene);Acc:839607],AT1G27180
104440936,AT4G28430,-1.507095151,0.191471118,4.33E-13,Reticulon family protein [Source:NCBI gene (formerly Entrezgene);Acc:828960],AT4G28430
104440940,AT1G28680,-2.831740306,0.554554435,6.57E-06,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839768],AT1G28680
104440954,AT1G03820,-1.643339516,0.244023996,9.43E-10,E6-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839400],AT1G03820
104440977,AT5G65360,-2.753868679,0.300463655,1.60E-17,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836661],AT5G65360
104440990,AT2G20560,1.87734754,0.24925683,4.96E-12,DNAJ heat shock family protein [Source:NCBI gene (formerly Entrezgene);Acc:816578],AT2G20560
104440997,AT1G28340,-1.431590593,0.279150397,5.91E-06,receptor like protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:839730],RLP4
104441003,AT1G28270,-2.384880839,0.842667714,0.023749053,ralf-like 4 [Source:NCBI gene (formerly Entrezgene);Acc:839721],RALFL4
104441008,AT4G20970,-1.807629184,0.539216983,0.005605591,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827844],AT4G20970
104441009,AT4G32480,1.926206034,0.368504875,3.69E-06,"sugar phosphate exchanger, putative (DUF506) [Source:NCBI gene (formerly Entrezgene);Acc:829383]",AT4G32480
104441018,AT4G11660,1.638197282,0.554458054,0.017251655,winged-helix DNA-binding transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:826771],AT-HSFB2B
104441021,AT3G15390,-1.732069602,0.253679594,5.35E-10,silencing defective 5 [Source:NCBI gene (formerly Entrezgene);Acc:820778],SDE5
104441024,AT2G20740,-1.261778829,0.370761443,0.004792902,Tetraspanin family protein [Source:NCBI gene (formerly Entrezgene);Acc:816603],AT2G20740
104441039,AT2G20780,-1.420277273,0.288250036,1.50E-05,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816607],AT2G20780
104441051,AT3G58650,-1.798629371,0.337853723,2.32E-06,GPI-anchored adhesin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825034],TRM7
104441053,AT1G11090,-1.255689405,0.300871874,0.000344208,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837650],AT1G11090
104441055,AT1G03870,-3.401626024,1.149176517,0.017015097,FASCICLIN-like arabinoogalactan 9 [Source:NCBI gene (formerly Entrezgene);Acc:839384],FLA9
104441058,AT1G11120,-1.342112,0.315711572,0.000256666,CTTNBP 2 amino-terminal-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837653],AT1G11120
104441059,AT1G61170,-1.860765561,0.245636015,3.64E-12,,AT1G61170
104441063,AT4G21580,1.18294431,0.22915889,5.03E-06,"oxidoreductase, zinc-binding dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:828243]",AT4G21580
104441069,AT1G61260,-1.898110328,0.664605931,0.022241761,cotton fiber (DUF761) [Source:NCBI gene (formerly Entrezgene);Acc:842420],AT1G61260
104441105,AT4G05140,-1.188950597,0.306019585,0.000988028,Nucleoside transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:825861],AT4G05140
104441118,AT1G11330,-1.235909337,0.472790505,0.040156755,S-locus lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837675],AT1G11330
104441146,AT1G61740,-1.401883551,0.500986012,0.025724894,Sulfite exporter TauE/SafE family protein [Source:NCBI gene (formerly Entrezgene);Acc:842471],AT1G61740
104441149,AT4G05180,-1.208891399,0.296133403,0.000487624,photosystem II subunit Q-2 [Source:NCBI gene (formerly Entrezgene);Acc:825866],PSBQ-2
104441151,AT4G21320,1.778618854,0.30051071,1.06E-07,Aldolase-type TIM barrel family protein [Source:NCBI gene (formerly Entrezgene);Acc:827880],HSA32
104441153,AT1G61720,-2.241216701,0.321090284,2.04E-10,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842469],BAN
104441174,AT5G55930,-1.680902549,0.550940289,0.013293289,oligopeptide transporter 1 [Source:NCBI gene (formerly Entrezgene);Acc:835691],OPT1
104441179,AT5G47810,2.09532656,0.417171499,9.73E-06,phosphofructokinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:834832],PFK2
104441193,AT2G38970,-1.525939409,0.275089958,7.68E-07,Zinc finger (C3HC4-type RING finger) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818482],AT2G38970
104441197,AT2G44190,-1.992265048,0.325218998,3.36E-08,ENDOSPERM DEFECTIVE protein (DUF566) [Source:NCBI gene (formerly Entrezgene);Acc:819026],EDE1
104441202,AT2G35120,-1.916275676,0.281407286,5.96E-10,Single hybrid motif superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818078],AT2G35120
104441204,AT2G34070,-1.149297901,0.272364993,0.000288707,TRICHOME BIREFRINGENCE-LIKE 37 [Source:NCBI gene (formerly Entrezgene);Acc:817968],TBL37
104441229,AT4G16146,-1.120162049,0.416396492,0.033516004,cAMP-regulated phosphoprotein 19-related protein [Source:NCBI gene (formerly Entrezgene);Acc:827304],AT4G16146
104441233,AT3G25690,-1.681528766,0.322261349,3.87E-06,Hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:822157],CHUP1
104441242,AT5G44560,-1.666614854,0.251385967,1.77E-09,SNF7 family protein [Source:NCBI gene (formerly Entrezgene);Acc:834483],VPS2.2
104441243,AT3G54950,-1.93468623,0.313265372,2.53E-08,patatin-like protein 6 [Source:NCBI gene (formerly Entrezgene);Acc:824660],pPLAIIIbeta
104441267,AT5G18840,-1.09161014,0.270475609,0.000575743,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832002],AT5G18840
104441268,AT1G08920,-3.737249189,1.404090734,0.035855908,ERD (early response to dehydration) six-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:837413],ESL1
104441282,AT5G17670,-1.884781534,0.317779021,9.88E-08,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831633],AT5G17670
104441299,AT2G42610,-1.056988073,0.292337363,0.002457598,LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640) [Source:NCBI gene (formerly Entrezgene);Acc:818861],LSH10
104441301,AT3G17350,-1.131731647,0.382258576,0.017002596,wall-associated receptor kinase carboxy-terminal protein [Source:NCBI gene (formerly Entrezgene);Acc:820998],AT3G17350
104441316,AT1G08840,-1.691002307,0.338920969,1.13E-05,DNA replication helicase [Source:NCBI gene (formerly Entrezgene);Acc:837406],emb2411
104441317,AT1G76520,2.438296188,0.928245079,0.038988923,Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843985],AT1G76520
104441319,AT2G44580,-1.662942577,0.461415377,0.00255186,zinc ion binding protein [Source:NCBI gene (formerly Entrezgene);Acc:819066],AT2G44580
104441350,AT2G24190,-2.045590006,0.604562301,0.005087856,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816953],SDR2
104441351,AT2G44690,-2.314716586,0.331884077,2.12E-10,RAC-like 9 [Source:NCBI gene (formerly Entrezgene);Acc:819077],ARAC9
104441358,AT4G15550,-2.066975367,0.333427195,2.22E-08,indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229],IAGLU
104441382,AT1G11545,-1.571946704,0.40743254,0.001084498,xyloglucan endotransglucosylase/hydrolase 8 [Source:NCBI gene (formerly Entrezgene);Acc:837698],XTH8
104441385,AT4G04900,-1.431418214,0.363920821,0.000834777,ROP-interactive CRIB motif-containing protein 10 [Source:NCBI gene (formerly Entrezgene);Acc:825829],RIC10
104441392,AT4G21820,-1.721371404,0.369631797,4.88E-05,binding / calmodulin binding protein [Source:NCBI gene (formerly Entrezgene);Acc:828270],AT4G21820
104441396,AT1G11670,-1.075696191,0.286000604,0.001512611,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:837711],AT1G11670
104441407,AT5G16980,-1.729467335,0.353748138,1.77E-05,Zinc-binding dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:831561],AT5G16980
104441414,AT1G11820,-1.070490472,0.342865695,0.010937061,O-Glycosyl hydrolases family 17 protein [Source:NCBI gene (formerly Entrezgene);Acc:837730],AT1G11820
104441437,AT1G05010,-1.201687322,0.309111659,0.000979896,ethylene-forming enzyme [Source:NCBI gene (formerly Entrezgene);Acc:839345],EFE
104441445,AT3G20290,-1.925417834,0.299131935,5.64E-09,EPS15 homology domain 1 [Source:NCBI gene (formerly Entrezgene);Acc:821573],EHD1
104441447,AT1G62400,-1.166337147,0.283727072,0.000437917,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842538],HT1
104441455,AT4G27520,-1.324908204,0.442413918,0.015490126,early nodulin-like protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:828861],ENODL2
104441497,AT4G17240,-1.841732025,0.218816726,7.48E-15,structural maintenance of chromosomes protein [Source:NCBI gene (formerly Entrezgene);Acc:827436],AT4G17240
104441514,AT4G16380,-1.141053559,0.290893134,0.000867974,Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745712],AT4G16380
104441570,AT1G30760,-1.109276867,0.315357887,0.003354767,FAD-binding Berberine family protein [Source:NCBI gene (formerly Entrezgene);Acc:839958],AT1G30760
104441580,AT1G30690,-1.263583864,0.335472949,0.001483531,Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:839949],AT1G30690
104441591,AT5G59970,-2.010000949,0.297995213,8.86E-10,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836119],AT5G59970
104441601,AT1G32860,-1.186347161,0.390694805,0.013836547,Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:840180],AT1G32860
104441604,AT2G42790,1.381875803,0.217413704,9.07E-09,citrate synthase 3 [Source:NCBI gene (formerly Entrezgene);Acc:818879],CSY3
104441606,AT4G10630,-1.226061793,0.303678598,0.000573311,Glutaredoxin family protein [Source:NCBI gene (formerly Entrezgene);Acc:826655],AT4G10630
104441607,AT1G01110,-2.968653877,0.277221143,7.48E-24,IQ-domain 18 [Source:NCBI gene (formerly Entrezgene);Acc:839394],IQD18
104441608,AT4G37740,-1.236161212,0.412528819,0.015422227,growth-regulating factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:829930],GRF2
104441626,AT5G63830,1.100049844,0.110581364,1.28E-20,HIT-type Zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:836503],AT5G63830
104441654,AT5G41870,-1.637104359,0.387564901,0.000283861,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834192],AT5G41870
104441656,AT4G11050,-2.433416786,0.323941436,5.66E-12,glycosyl hydrolase 9C3 [Source:NCBI gene (formerly Entrezgene);Acc:826706],GH9C3
104441658,AT5G53110,3.143689217,0.511745432,3.06E-08,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:835391],AT5G53110
104441667,AT1G64480,-1.170040765,0.340016663,0.004259132,calcineurin B-like protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:842756],CBL8
104441672,AT5G46290,1.669913066,0.565997851,0.017440507,3-ketoacyl-acyl carrier protein synthase I [Source:NCBI gene (formerly Entrezgene);Acc:834671],KASI
104441673,AT3G16910,-2.121838744,0.318732649,1.51E-09,acyl-activating enzyme 7 [Source:NCBI gene (formerly Entrezgene);Acc:820946],AAE7
104441676,AT4G23990,6.022742002,1.950125394,0.012016007,cellulose synthase like G3 [Source:NCBI gene (formerly Entrezgene);Acc:828499],CSLG3
104441677,AT4G23990,2.173843774,0.40565361,1.96E-06,cellulose synthase like G3 [Source:NCBI gene (formerly Entrezgene);Acc:828499],CSLG3
104441678,AT4G24015,1.852309711,0.301799069,3.15E-08,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745724],AT4G24015
104441685,AT4G23740,-1.717885665,0.419031824,0.000455726,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:828474],AT4G23740
104441718,AT3G61510,-2.145015955,0.687030597,0.010937061,ACC synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825324],ACS1
104441723,AT5G52570,2.192932782,0.718204289,0.013212652,beta-carotene hydroxylase 2 [Source:NCBI gene (formerly Entrezgene);Acc:835334],BETA-OHASE 2
104441735,AT2G45960,-1.497408358,0.226156174,1.86E-09,plasma membrane intrinsic protein 1B [Source:NCBI gene (formerly Entrezgene);Acc:819204],PIP1B
104441740,AT4G23430,-1.330015303,0.184187348,4.06E-11,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:828442],Tic32-IVa
104441758,AT4G11610,-2.521741681,0.437562497,2.46E-07,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:826766],AT4G11610
104441763,AT1G63440,1.190739937,0.310488126,0.001172184,heavy metal atpase 5 [Source:NCBI gene (formerly Entrezgene);Acc:842650],HMA5
104441770,AT1G63300,-1.810670388,0.341207031,2.51E-06,Myosin heavy chain-related protein [Source:NCBI gene (formerly Entrezgene);Acc:842636],AT1G63300
104441771,AT5G63470,-1.965092334,0.677532455,0.019867026,"nuclear factor Y, subunit C4 [Source:NCBI gene (formerly Entrezgene);Acc:836466]",NF-YC4
104441773,AT5G23750,-1.426999137,0.181617596,4.80E-13,Remorin family protein [Source:NCBI gene (formerly Entrezgene);Acc:832440],AT5G23750
104441785,AT4G11650,2.888896492,0.769849748,0.001558201,osmotin 34 [Source:NCBI gene (formerly Entrezgene);Acc:826770],OSM34
104441797,AT1G63100,-2.127466145,0.402650671,2.80E-06,GRAS family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:842613],AT1G63100
104441806,AT2G42870,-2.076462657,0.266502578,7.75E-13,phy rapidly regulated 1 [Source:NCBI gene (formerly Entrezgene);Acc:818887],PAR1
104441810,AT1G63000,-1.288320646,0.201383484,7.12E-09,nucleotide-rhamnose synthase/epimerase-reductase [Source:NCBI gene (formerly Entrezgene);Acc:842603],NRS/ER
104441817,AT4G11860,2.01673183,0.358530071,5.13E-07,FAM63A-like protein (DUF544) [Source:NCBI gene (formerly Entrezgene);Acc:826793],AT4G11860
104441820,AT4G22900,-1.684343675,0.376511632,0.000105638,"transmembrane protein, putative (DUF1191) [Source:NCBI gene (formerly Entrezgene);Acc:828389]",AT4G22900
104441822,AT4G22880,-3.320386632,0.460380581,4.30E-11,leucoanthocyanidin dioxygenase [Source:NCBI gene (formerly Entrezgene);Acc:828387],LDOX
